Seed Range = 11:20, Num Obs Range = 1:4
Merged_vs_BigM	Merged_vs_Full	Full_vs_BigM
-0.2415142059326172	-0.010412216186523438	-0.23110198974609375
1.3993263244628906	14.241495132446289	-12.842168807983398
-152.95761489868164	-138.19039154052734	-14.767223358154297
-35.83873748779297	99.82051658630371	-135.65925407409668
-2.6288928985595703	-7.67521858215332	5.04632568359375
-160.2825756072998	-161.84871673583984	1.566141128540039
-146.4057559967041	0.016956329345703125	-146.4227123260498
-150.64503860473633	-153.4881134033203	2.8430747985839844
1.7075843811035156	3.285106658935547	-1.5775222778320312
0.3842296600341797	6.364013671875	-5.97978401184082
4.857549667358398	61.76832389831543	-56.91077423095703
-20.616832733154297	14.951404571533203	-35.5682373046875
-3.4472579956054688	-3.223081588745117	-0.22417640686035156
-32.0947265625	-22.992122650146484	-9.102603912353516
-46.56077194213867	-27.143861770629883	-19.41691017150879
-104.41499900817871	-77.54934883117676	-26.865650177001953
-4.546272277832031	5.299310684204102	-9.845582962036133
-162.5172462463379	-64.53426170349121	-97.98298454284668
-42.75174331665039	-50.014564514160156	7.262821197509766
-40.71480178833008	4.522972106933594	-45.23777389526367
-9.329032897949219	9.338098526000977	-18.667131423950195
-19.642471313476562	16.31943702697754	-35.9619083404541
-153.36139106750488	-27.36749267578125	-125.99389839172363
4.961999893188477	129.05931663513184	-124.09731674194336
-11.502693176269531	-5.87849235534668	-5.624200820922852
4.038673400878906	27.669055938720703	-23.630382537841797
55.843082427978516	158.91485786437988	-103.07177543640137
-111.36680793762207	-130.95343017578125	19.58662223815918
-13.409093856811523	-5.613128662109375	-7.795965194702148
10.13638687133789	164.5895595550537	-154.45317268371582
-16.02094268798828	-30.107181549072266	14.086238861083984
-118.69191360473633	-100.44105339050293	-18.2508602142334
-9.165424346923828	-5.342199325561523	-3.8232250213623047
-167.53734970092773	-140.22176933288574	-27.315580368041992
-20.351137161254883	-10.438055038452148	-9.913082122802734
-25.228445053100586	-33.579294204711914	8.350849151611328
2.1185379028320312	3.0838394165039062	-0.965301513671875
-67.86989402770996	-67.44104766845703	-0.4288463592529297
-131.39934158325195	-129.3119888305664	-2.087352752685547
-33.08786964416504	-28.065631866455078	-5.022237777709961
